date,product,sales,stock_level,vendor,lead_time_days,unit_price,reorder_point,reorder_qty,promotion
2025-01-01,Running Shoes,14,239,Vendor_C,7,2200,189,0,False
2025-01-02,Running Shoes,18,221,Vendor_C,7,2200,189,0,False
2025-01-03,Running Shoes,29,192,Vendor_C,7,2200,189,0,True
2025-01-04,Running Shoes,26,348,Vendor_C,7,2200,189,182,False
2025-01-05,Running Shoes,35,313,Vendor_C,7,2200,189,0,True
2025-01-06,Running Shoes,16,297,Vendor_C,7,2200,189,0,False
2025-01-07,Running Shoes,10,287,Vendor_C,7,2200,189,0,False
2025-01-08,Running Shoes,20,267,Vendor_C,7,2200,189,0,False
2025-01-09,Running Shoes,16,251,Vendor_C,7,2200,189,0,False
2025-01-10,Running Shoes,15,236,Vendor_C,7,2200,189,0,False
2025-01-11,Running Shoes,21,215,Vendor_C,7,2200,189,0,False
2025-01-12,Running Shoes,25,190,Vendor_C,7,2200,189,0,False
2025-01-13,Running Shoes,18,414,Vendor_C,7,2200,189,242,False
2025-01-14,Running Shoes,16,398,Vendor_C,7,2200,189,0,False
2025-01-15,Running Shoes,27,371,Vendor_C,7,2200,189,0,True
2025-01-16,Running Shoes,21,350,Vendor_C,7,2200,189,0,False
2025-01-17,Running Shoes,15,335,Vendor_C,7,2200,189,0,False
2025-01-18,Running Shoes,23,312,Vendor_C,7,2200,189,0,False
2025-01-19,Running Shoes,37,275,Vendor_C,7,2200,189,0,True
2025-01-20,Running Shoes,19,256,Vendor_C,7,2200,189,0,False
2025-01-21,Running Shoes,26,230,Vendor_C,7,2200,189,0,False
2025-01-22,Running Shoes,21,209,Vendor_C,7,2200,189,0,False
2025-01-23,Running Shoes,18,191,Vendor_C,7,2200,189,0,False
2025-01-24,Running Shoes,20,398,Vendor_C,7,2200,189,227,False
2025-01-25,Running Shoes,20,378,Vendor_C,7,2200,189,0,False
2025-01-26,Running Shoes,19,359,Vendor_C,7,2200,189,0,False
2025-01-27,Running Shoes,14,345,Vendor_C,7,2200,189,0,False
2025-01-28,Running Shoes,15,330,Vendor_C,7,2200,189,0,False
2025-01-29,Running Shoes,20,310,Vendor_C,7,2200,189,0,False
2025-01-30,Running Shoes,21,289,Vendor_C,7,2200,189,0,False
2025-01-31,Running Shoes,17,272,Vendor_C,7,2200,189,0,False
2025-02-01,Running Shoes,22,250,Vendor_C,7,2200,189,0,False
2025-02-02,Running Shoes,19,231,Vendor_C,7,2200,189,0,False
2025-02-03,Running Shoes,32,199,Vendor_C,7,2200,189,0,True
2025-02-04,Running Shoes,22,397,Vendor_C,7,2200,189,220,False
2025-02-05,Running Shoes,15,382,Vendor_C,7,2200,189,0,False
2025-02-06,Running Shoes,15,367,Vendor_C,7,2200,189,0,False
